"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WT1",5.19132330449207,-2.53584340092063,0.780419282302821,-3.24933463129972,0.00115675313627075,NA
"FSTL5",4.83843837291308,-2.42970921891409,1.13773981229879,-2.13555787768813,0.0327154678763665,NA
"ARHGEF4",28.7886151796056,-2.41709468293817,0.59200920602532,-4.08286671615507,4.44835381502985e-05,0.0210585069603513
"EPB42",3.37148055121597,-2.37958292451591,0.808378589195826,-2.94364912223011,0.00324367514984384,NA
"MUC16",14.2099656327674,-2.20536409099992,0.642065405257844,-3.43479663121591,0.000592998671843303,0.0616890035455598
"CIDEA",9.7141287311082,-2.17510355252871,1.00042009499363,-2.17419018611632,0.0296908550992635,0.316568711801607
"LOC100190940",16.2749882037566,-2.16918073204303,0.607335033479217,-3.57163774929388,0.000354755877291893,0.0514860387305344
"AK127124",6.13691947101765,-2.11922806980141,0.952533220135185,-2.22483376432861,0.0260923998392577,NA
"NOX5",12.2311267941776,-2.00394024065919,0.648264569756382,-3.09123826003983,0.00199323624499734,0.100688815071222
"SPINK1",162.332864571806,-1.97351111068528,0.883056678384159,-2.23486346798992,0.0254263135627833,0.303740871969543
"IGHG1",5.07538618419707,-1.94884010387627,0.793638124445694,-2.45557772975865,0.0140658329835267,NA
"BC016143",132.779047947038,-1.80758073384737,0.576891881782776,-3.13330936164569,0.00172847159119005,0.0945183029519076
"ITLN1",517.383481975299,-1.67539158983661,0.534378420886119,-3.13521565309174,0.00171727819214995,0.0942171601514324
"CYP1A1",1198.7333572878,-1.67282686546614,0.532479762713913,-3.14157829574624,0.00168039872789366,0.0928084217415671
"DQ574721",53.1821198527585,-1.61355574994588,0.820858245414184,-1.96569353960954,0.0493340215370466,0.381103726303381
"BC137484",16.783580008948,-1.53562603144607,0.777354915237994,-1.97545033979225,0.0482170649038683,0.377021495229917
"C10orf62",12.1589975139349,-1.51169575161343,0.393445796193696,-3.84219571345784,0.000121938540327337,0.033673327911394
"PTH2R",21.5245999995499,-1.44564279743466,0.549320807230464,-2.63169131481332,0.00849610173798651,0.189719554847303
"CCDC162P",46.0916622207217,-1.44149690705603,0.604565895112902,-2.38435035569916,0.0171093048667661,0.259327388235356
"SLC25A48",4.50807582022306,-1.43608090821255,0.546783719073683,-2.6264149024873,0.00862895656997141,NA
"AX748380",443.8628317628,-1.41035415734854,0.380718189726184,-3.70445698526482,0.000211844050726516,0.0450553924541506
"UPK3B",25.8804671440576,-1.39613427650798,0.545866452743164,-2.55764806481867,0.0105382684306988,0.207867344795534
"MT1DP",112.54413992383,-1.39168740249312,0.491766163363609,-2.82997795735717,0.00465512111920304,0.148090745225218
"BC144457",24.4057850898467,-1.38628538567755,0.280842092890502,-4.93617381714232,7.96701082456187e-07,0.00146672669280184
"MSLN",17.1631216991064,-1.3683860543189,0.679988884109811,-2.01236532875134,0.0441814405114376,0.363853017734809
"APLN",13.2860599826998,-1.35743232769194,0.461729997720235,-2.93988333960146,0.0032833584274269,0.125858996692182
"AK128346",98.1132682953979,-1.35559492717264,0.242021562757754,-5.60113285661861,2.1295543492216e-08,0.000176422930061263
"ALOX15",15.6611944637477,-1.35555925441668,0.442300504247218,-3.06479246892064,0.00217821085590136,0.105127395742706
"BNC1",22.1561609642369,-1.33147090085054,0.405508290838613,-3.28346159852117,0.00102540613891107,0.0763140791749221
"CLEC18B",9.27510454670587,-1.31002570029011,0.327811815733731,-3.9962735856788,6.43473656974412e-05,0.0267014640926307
"CES1P1",470.334866137835,-1.30463294994214,0.613772030386018,-2.12559856975174,0.0335366988114128,0.331582554113403
"LHX9",17.6475070534203,-1.30222925439062,0.542203827862779,-2.401733789899,0.0163175784078509,0.256028368030002
"LINC00277",7.62437077631788,-1.2963897619407,0.484983688108082,-2.67305848367377,0.00751631454042224,0.181807030102564
"AK093256",16.3928607300347,-1.24858076348047,0.364701439519903,-3.42356960565912,0.000618044214410219,0.0616890035455598
"LINC00940",18.1009661954934,-1.22120064658189,0.46592168411522,-2.62104273790334,0.00876612717680163,0.19081769889175
"SLC5A11",27.2114927529457,-1.19830212680144,0.461055777436072,-2.59903939055963,0.00934850451581704,0.197570626686955
"RSPO1",8.34055098144093,-1.17552205640522,0.571209518125879,-2.05795250097035,0.039594693227946,0.348195306313346
"UPP2",1393.81557121442,-1.15256633885306,0.435886673544373,-2.64418806264727,0.00818871452411827,0.187143187517401
"MT1M",1922.89745472354,-1.14974006199457,0.365500730537279,-3.14565735697566,0.0016571402330184,0.0926089457754935
"BX538274",11.3297823198811,-1.13745205453498,0.44833010946997,-2.53708602324236,0.011177948350897,0.212770705706189
"BC015433",41.3192026164233,-1.1359896716856,0.509808644313914,-2.22826679060019,0.0258627295012303,0.305881808594373
"LOC399753",23.908888968312,-1.12948367990904,0.478216248762868,-2.36186805201827,0.0181831126828431,0.264081005801498
"MT1JP",72.4041158998696,-1.12039068267413,0.441779536945628,-2.53608551093217,0.0112099357694449,0.212770705706189
"PPP1R3G",50.477372684419,-1.10867204612649,0.325484339856204,-3.40622239034999,0.000658685004932031,0.0634520456204583
"C6orf185",58.1083311008461,-1.09251641092073,0.554992613159332,-1.96852423801014,0.0490077501012603,0.380247467569822
"C21orf15",14.853246419036,-1.08796349170943,0.506909672278766,-2.14626698050285,0.0318516843875924,0.326174634498157
"DQ590432",4.99579895472185,-1.08181934014849,0.501339866017988,-2.15785620389836,0.0309390134940366,NA
"GNMT",6464.68071202131,-1.07521177714672,0.27060421089796,-3.97337415252628,7.08616054502361e-05,0.0267014640926307
"LOC100288974",70.911899694867,-1.07162564777488,0.224777431269133,-4.76749663755961,1.86529107416604e-06,0.00309060078078571
"CYP3A43",3177.44102652629,-1.07116677857201,0.250946377751541,-4.26850862789725,1.96784217598687e-05,0.0116447060764023
"KIF25",18.1224692055656,-1.05572652430009,0.416044565460811,-2.53753230289348,0.0111637064900634,0.212770705706189
"AK056618",9.48788602696085,-1.05190134490073,0.29234214019271,-3.59818582503133,0.000320444639308075,0.0511967960555846
"EFCAB12",41.1434273379448,-1.04543498303964,0.34080467930116,-3.06754879417549,0.00215822222257822,0.105127395742706
"MIR30C2",4.8738511176877,-1.03433578000024,0.447616666580942,-2.31076243854115,0.0208459802905195,NA
"TPGS1",6.40358546277511,-1.02781630323978,0.4453945406196,-2.3076535734137,0.021018412231301,NA
"C20orf62",15.6473057492272,-1.02109038991353,0.322295593616233,-3.1681798018293,0.0015339661919159,0.0901286731696971
"CTAGE4",11.6645712772396,-1.00929596121777,0.487564717946298,-2.07007587724782,0.0384452394676301,0.344883147124615
"MT1L",275.277027904402,-0.998715677659006,0.399063759916806,-2.50264688997872,0.012326846126807,0.223559524233048
"GPR88",239.353930746342,-0.994251597870882,0.452824165199127,-2.19566815175083,0.0281157043185904,0.312671320721441
"SLC1A2",2927.85586039524,-0.993400928359063,0.327340472504105,-3.03476353155996,0.0024072434568951,0.108091102540095
"SNORD97",6.16107760102205,-0.989974313767269,0.489153307914556,-2.02385284480218,0.0429852950343442,NA
"FOS",582.567415557679,-0.985811044552779,0.421871198980036,-2.33675834457576,0.019451752904379,0.26992972686152
"RHBG",409.657462784283,-0.980839003694789,0.277871073596036,-3.5298348655057,0.000415819117389682,0.0562297041394939
"FLJ35282",58.3501935342432,-0.979620470549091,0.32017570492515,-3.05963399308546,0.00221607631902636,0.105127395742706
"BC071770",12.024973240831,-0.973437419429325,0.308064594364734,-3.1598484124301,0.00157851242471839,0.0911302173002055
"PRODH",615.049180113959,-0.969041804504258,0.4609533476685,-2.10225570419581,0.0355308825626325,0.337417898494244
"LOC727896",18.9289374359551,-0.963550133304459,0.294198357720039,-3.2751716929072,0.00105597774302372,0.0764039092758077
"CR936829",7.64622062816631,-0.958059931723281,0.449907271322379,-2.12946087514284,0.0332161485727374,0.330292000773128
"BC041025",16.6851710039169,-0.955653664091063,0.364112977622582,-2.6246075334388,0.0086748895038789,0.190628971073965
"OAT",4188.43423548995,-0.95311282018275,0.278174618430135,-3.42631123415068,0.000611838869947814,0.0616890035455598
"ANKDD1B",14.180864155937,-0.951566403634262,0.28639849895594,-3.32252580618675,0.000892064194226942,0.0721953146637924
"MSTN",7.2826615815394,-0.950758317518747,0.467622977661766,-2.03317279718114,0.0420350683356493,0.356263139626498
"LMX1A",8.50960546569708,-0.933682637713248,0.429604383203105,-2.17335454250202,0.0297536433416835,0.317034158539135
"JX088243",19.1159682604695,-0.931622181040491,0.255273722190599,-3.64950286714157,0.000262748307394875,0.0477095820296482
"UNC93A",603.302332776746,-0.927819896056013,0.419698013588712,-2.21068450651578,0.0270576921734007,0.310212150966413
"FW340046",28.1632869001379,-0.925874452545819,0.317106823130292,-2.9197556943308,0.00350305886957799,0.128696635055516
"MT1H",3264.81037029764,-0.925629400484947,0.418888646679025,-2.20972663695565,0.0271241399331577,0.310212150966413
"LINC00862",13.2557111503775,-0.919525851763686,0.398840861231492,-2.30549560274363,0.0211388327422313,0.278753624203796
"AX748285",9.74863745773581,-0.909360304969412,0.338740574852409,-2.68453315746313,0.00726311785191243,0.178815155554736
"BC041449",32.8985409115603,-0.909039887373906,0.269880815400385,-3.36830124818353,0.000756329065032641,0.0670139907942558
"ZP3",14.2402613354338,-0.904070314683703,0.42320437269959,-2.13624993739243,0.0326590470587483,0.328763199036527
"IGF1",2545.67127185332,-0.89710194004063,0.251204257169649,-3.57120516247771,0.000355342405901694,0.0514860387305344
"MROH7",96.7944462277894,-0.895126771389983,0.265342733442019,-3.37347384561251,0.00074226097634813,0.0670139907942558
"MIR570",50.615132388294,-0.891558506796127,0.257403542401529,-3.46366059487001,0.000532878403124527,0.06045775983653
"ZDHHC19",28.6754527028315,-0.891461505739508,0.266326505860706,-3.34725040926178,0.000816174477701392,0.0688485064795883
"LINC00853",16.2851556507546,-0.888151702453789,0.452279901700835,-1.96372135731396,0.0495624144400674,0.381428520774324
"GNN",86.8729786700645,-0.887496594689593,0.241973439292666,-3.66774385355646,0.000244700138278439,0.0477095820296482
"LINC00238",81.5572634119793,-0.881854412990758,0.305483545573669,-2.88674930538311,0.00389244236522464,0.134937524489541
"IDO2",1051.83101089844,-0.881228566573528,0.378272530527442,-2.32961289931572,0.0198266197684623,0.271180964659956
"TEX14",14.0004233072393,-0.878202004880329,0.343647577789448,-2.55553090328605,0.0106025945884946,0.208391921395928
"OMP",5.96460372350844,-0.87365503492806,0.409051224181029,-2.1358083860456,0.0326950353161006,NA
"LOC100131347",11.2047078318169,-0.866546613709348,0.413233717260358,-2.09698913112499,0.0359945374957359,0.33806606860608
"LINC00598",28.1384579921971,-0.860954145366227,0.437560786312203,-1.96762180775479,0.0491115686281259,0.380247467569822
"AGBL4",46.8322129251824,-0.860943323009749,0.30984809252525,-2.77859810590762,0.00545940246096359,0.158942175760189
"RGSL1",14.6838605998224,-0.851034301948375,0.291373067656991,-2.92077201503821,0.00349165237701805,0.128696635055516
"ASS1",48462.7714326699,-0.850823122831346,0.211379390310277,-4.02509971091529,5.69511789641916e-05,0.0255207487571226
"LOC100506207",28.1987535063939,-0.850260849740044,0.227935157410138,-3.7302751335114,0.00019127078661819,0.0441308871183046
"PKD1L3",69.8356662309482,-0.840855639035883,0.379010850075387,-2.21855294873124,0.0265171535746216,0.307239576336245
"CYP1A2",15932.3366519378,-0.837152763280195,0.413591760954682,-2.02410406181163,0.0429594457888971,0.359492453169816
"JAKMIP3",7.9859080098544,-0.836333950443661,0.352224281540858,-2.37443581908945,0.017575791474064,0.262290212660062
"TEKT5",8.46099331677541,-0.835276835232528,0.346438236447125,-2.41104112467104,0.0159070546941326,0.252222052803749
"FAM160A1",71.285126477582,-0.832184482014086,0.186188741770065,-4.46957465904033,7.83752987319996e-06,0.00677894850568056
"SLC45A2",46.4979979686993,-0.830598070620624,0.308754655631958,-2.69015561537221,0.00714187069097997,0.177717881882291
"LOC152225",17.3646254931681,-0.829402236772719,0.321088580127811,-2.58309478475557,0.00979184173625947,0.200807222849721
"BC035370",9.80752533900298,-0.827127185922128,0.358017252672089,-2.31029979630535,0.0208715622068948,0.277573227597918
"AK095081",78.3517761531943,-0.82519334399436,0.214692054303079,-3.84361380617021,0.000121235738700637,0.033673327911394
"GDF7",23.738662462123,-0.819573713504403,0.247908856301507,-3.30594770082614,0.000946557534434987,0.0736315107420342
"AK094577",106.227733799428,-0.812390403134183,0.20350310896792,-3.99202944492728,6.55102360267506e-05,0.0267014640926307
"SMIM1",33.5500820031838,-0.808477432682257,0.268840702784512,-3.00727317072329,0.00263602767578977,0.113445045610807
"STAG3L1",16.2803177805282,-0.799968285899412,0.321300051836082,-2.4897857355701,0.0127820127336593,0.226750716256961
"MBL1P",313.245638650771,-0.797107069508196,0.256381847126441,-3.10906204336333,0.00187682302180834,0.0990294192823163
"SLC22A4",16.64886851786,-0.794050939253007,0.311096260846975,-2.55242842550137,0.0106974886527068,0.208771130137455
"SSPO",105.587226149743,-0.791842250925095,0.221017317851659,-3.58271586417748,0.000340040414639917,0.0514860387305344
"KLHL33",12.1621992379843,-0.790644715185714,0.270487560335202,-2.92303540394208,0.00346637099852936,0.128546048526065
"C18orf23",12.3361897303984,-0.788472826721461,0.347009234427851,-2.27219551670288,0.0230747039472683,0.293418856256553
"SULT1A1",5667.31161292627,-0.787784894003483,0.227982416113339,-3.45546339684305,0.000549347775322948,0.0606809552621729
"PKD1L2",122.944783691914,-0.782860871534234,0.318186757670961,-2.4603816867319,0.0138789324444113,0.237316854150104
"NXF5",9.89207982237801,-0.782737570593944,0.354798899907062,-2.20614429976806,0.0273738977998284,0.310212150966413
"C6orf165",7.68105136359874,-0.781446826061636,0.398321176967281,-1.96185106704941,0.0497798262127149,0.382029615802906
"MT1G",20520.5232370332,-0.780174942099778,0.320112454838277,-2.43719021333902,0.0148018909381144,0.245045393801007
"GRIK5",8.37482788726458,-0.777370795270973,0.331979470676041,-2.3416230940062,0.0192000934165384,0.268006221388359
"LOC643699",55.4760008699279,-0.776687307206007,0.245757227398243,-3.16038439816627,0.00157561115505394,0.0911302173002055
"MOV10L1",23.081094919643,-0.775963561463918,0.263244223245118,-2.94769454728503,0.00320153232214019,0.124814562460096
"MT1A",369.065331353224,-0.773382030467445,0.264594470967101,-2.92289565855518,0.00346792707412342,0.128546048526065
"FITM1",216.257244316329,-0.772585550718064,0.219377455257005,-3.52171808088924,0.000428759845148682,0.0562297041394939
"WASH3P",292.749456173649,-0.769160332711614,0.177953772250568,-4.32224798038333,1.54447455748144e-05,0.00983418268269617
"LINC00939",485.099014672339,-0.767902427109353,0.219396350551762,-3.50006928181871,0.000465137250642395,0.0562544460284223
"CYP2G1P",20.3958999804827,-0.767086640849463,0.351526182487978,-2.18216075804168,0.0290976703536198,0.315063734470984
"LOC100506085",89.5744281348747,-0.758380242498124,0.252401130628544,-3.0046626202092,0.00265875586200935,0.114126750978323
"LINC00612",7.50582493637527,-0.757838559254969,0.352669981590521,-2.14886040438475,0.0316454673908028,0.325667305524268
"IZUMO4",89.9216613606611,-0.755302006505635,0.190098190141783,-3.97322039700799,7.09073824657946e-05,0.0267014640926307
"FUT6",237.774398689311,-0.75423854451991,0.246877549955095,-3.05511191542973,0.00224976553868327,0.105898764802395
"LOC100506229",7091.47094444062,-0.750258243750779,0.218462349405341,-3.43426794499372,0.000594156560076272,0.0616890035455598
"AK096335",26.8910768902385,-0.748786238632841,0.252554098518983,-2.96485482921814,0.00302825793457703,0.121180756738772
"AK125212",20.6815950258495,-0.747700410083145,0.326014563531499,-2.29345708358487,0.0218217034419884,0.285370011310422
"GPR162",154.732489658452,-0.747254388987743,0.250303255114187,-2.98539620927762,0.00283211229952799,0.116729524106665
"CYP2D7P1",1456.43917136679,-0.742624022519103,0.251623055694402,-2.95133536340575,0.00316403172680127,0.123935795937046
"ZNF676",14.1497680511698,-0.742316722986581,0.300076456128202,-2.4737586299321,0.0133699992114401,0.232696971569697
"DIO3AS",83.500029350591,-0.73468769769623,0.318573836514843,-2.3061771353656,0.0211007366325672,0.278753624203796
"AX747833",24.5054478949711,-0.732860369729337,0.23770547629772,-3.0830605215483,0.00204883482491971,0.101943376018302
"AASS",7969.86969560861,-0.730746364107837,0.252267504776483,-2.89671222124031,0.00377095494063552,0.132938196619979
"CDH23",839.458757310254,-0.729602951751303,0.220099055942595,-3.31488451246058,0.000916809931581935,0.0723536834066729
"D28408",65.1246446988137,-0.729180589630759,0.247995219846425,-2.94030098677836,0.00327893561963887,0.125858996692182
"HSD3B2",27.654980840953,-0.726437913831492,0.220346183589906,-3.29680279456753,0.000977921391717642,0.0743265116484845
"AF420437",18.1906677417589,-0.725272071553094,0.350939535487583,-2.06665820807401,0.0387663717718145,0.345705729731707
"AL137655",24.3218056828642,-0.723018552440326,0.312144078333399,-2.31629751331715,0.0205420300263387,0.275372892804536
"C1orf228",225.636437372451,-0.72264556774145,0.205146107998728,-3.52258970346115,0.000427352392429861,0.0562297041394939
"IGSF23",284.343269915677,-0.722519805786317,0.25103762073205,-2.87813357886112,0.00400035709712616,0.137514350087725
"TRPC5",119.974778273369,-0.722039037934454,0.165323351263353,-4.36743528616399,1.25714027275805e-05,0.0088854944457083
"SNORA70F",13.8783206625301,-0.721359340287012,0.3295595539681,-2.18885883173891,0.0286071020947237,0.313589816476449
"BC069694",52.6646056726233,-0.721177151594895,0.34598054934404,-2.08444420636422,0.0371197803019417,0.340707936753397
"AX746622",12.8021456061282,-0.719331767746993,0.290763200847174,-2.47394362715479,0.0133630780765058,0.232696971569697
"RNF152",306.087678992071,-0.717522839146904,0.255672567414261,-2.80641308687731,0.00500964248226782,0.151745459394324
"EPB41L1",828.674288970575,-0.716936931827701,0.344131865926037,-2.08332038620855,0.0372220297221597,0.340707936753397
"CCDC40",55.1622211008441,-0.714962503114161,0.21565582098589,-3.31529424916816,0.000915467054091388,0.0723536834066729
"GOLGA6B",111.559286652261,-0.713366816285019,0.280635041441558,-2.54197342078386,0.0110228555416564,0.211876674558822
"MIR7",14.8030523382796,-0.71223308807454,0.280886325228421,-2.53566309251738,0.0112234653139724,0.212770705706189
"KIAA0913",29.0000693154575,-0.712099350436097,0.266313850851678,-2.67391030604975,0.00749725005018843,0.181699668151495
"GNRH2",13.0594171417982,-0.711761250558112,0.357442976536307,-1.99125817901143,0.0464525106638155,0.370747422537938
"ESPNP",44.9012904150799,-0.708446670527571,0.250240562312677,-2.83106249434639,0.00463936553187455,0.148090745225218
"GPT",2298.96549834942,-0.70840861929168,0.180541228121421,-3.923805253032,8.71612030042857e-05,0.0293080092534339
"NLRP14",38.8157995289195,-0.705314523539856,0.271765892533338,-2.5953018495628,0.00945078793333692,0.198513194231162
"GHRLOS",29.0376566909014,-0.705250755374925,0.315901181623078,-2.23250432857325,0.0255816494631549,0.304280222508983
"AK055656",9.97460832467126,-0.703629885342758,0.32253083646293,-2.18158949717551,0.0291398427176632,0.315063734470984
"MT1F",4616.13568037229,-0.702943838855816,0.336821941709877,-2.08698944993702,0.036889088220887,0.340320324460956
"BX648926",7.8207487669361,-0.699184132031032,0.331483553851573,-2.10925737915825,0.0349223715346121,0.33719625521969
"PHYHIP",25.2299944150452,-0.698286807174585,0.288760360869803,-2.41822251873909,0.01559653590467,0.249836943118545
"DRD1",83.5652827411392,-0.697242423325554,0.201962806896254,-3.45233082289116,0.000555765866748611,0.0609764781727682
"CELSR1",322.527571712277,-0.696977094907081,0.197351655512873,-3.53165061167484,0.000412974610139297,0.0562297041394939
"NUP62CL",30.7203856916201,-0.696621779649875,0.264481093072104,-2.63391901310676,0.00844056179062033,0.189244476737197
"AX747197",14.5268741031857,-0.696185873484596,0.32549390438862,-2.13885994206943,0.032447013111051,0.328615256868585
"MIR1295B",223.794857214762,-0.695422526458006,0.210797385892284,-3.29900925248362,0.000970267131863092,0.0743265116484845
"LOC100507489",32.1994121274937,-0.6945456604461,0.209895781542521,-3.30900247418931,0.00093629009705432,0.0731763708400614
"MRPS24",13.4990508206437,-0.69342378965691,0.305852974903485,-2.26718013737066,0.0233792236893319,0.296154707422431
"ASB9",587.841582593816,-0.69120345162955,0.299119890951231,-2.31079066467782,0.0208444204042838,0.277573227597918
"MTMR7",25.7037545964725,-0.686617800410248,0.249553522985185,-2.75138492214758,0.00593438662931627,0.163986634567212
"GADD45G",538.778044618982,-0.686066582695127,0.216267142763442,-3.17231075386039,0.0015123108817625,0.0891725231313983
"LOC100133957",26.0402479289444,-0.68305199166298,0.199464721390049,-3.4244250657603,0.000616101726555006,0.0616890035455598
"ACVR1C",155.903922818662,-0.682113505252483,0.22239868034774,-3.06707532700256,0.00216164375890669,0.105127395742706
"CSRNP3",152.45768169365,-0.681839349247924,0.252121404568744,-2.70440881611863,0.00684260467487637,0.173621924744298
"AK301549",22.040601423564,-0.681031758801903,0.320275372874369,-2.12639439832623,0.0334704338004915,0.331582554113403
"ONECUT1",476.281646365095,-0.679911252248941,0.17005640899408,-3.99815129738869,6.38391420435853e-05,0.0267014640926307
"AK126380",109.098207498117,-0.679864360247792,0.299180521020366,-2.27242187402138,0.0230610417860222,0.293418856256553
"LIME1",15.5522195383459,-0.678295374385843,0.287384843073998,-2.36023364047487,0.0182634285109338,0.264081005801498
"SSUH2",24.468651973388,-0.673692436858329,0.338171330780695,-1.99216307101804,0.0463531686333971,0.3703113071778
